course_code,course_name,cycle,institution_code,institution_name,reference
9002,Administração Pública,Licenciatura - 1º ciclo,3054,Instituto Politécnico de Castelo Branco - Escola Superior de Gestão de Idanha-a-Nova,5.4.290
9002,Administração Pública,Licenciatura - 1º ciclo,3102,Instituto Politécnico de Leiria - Escola Superior de Tecnologia e Gestão,5.4.369
9002,Administração Pública,Licenciatura - 1º ciclo,0300,Universidade de Aveiro,5.4.39
9002,Administração Pública,Licenciatura - 1º ciclo,0502,Universidade de Coimbra - Faculdade de Direito,5.4.76
9002,Administração Pública,Licenciatura - 1º ciclo,1516,Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas,5.4.131
9002,Administração Pública,Licenciatura - 1º ciclo,1000,Universidade do Minho,5.4.155
8102,Administração Pública (regime pós-laboral),Licenciatura - 1º ciclo,1516,Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas,5.4.131
8363,Administração Pública e Políticas do Território (regime pós-laboral),Licenciatura - 1º ciclo,1516,Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas,5.4.132
9670,Administração de Publicidade e Marketing,Licenciatura - 1º ciclo,3124,"Instituto Politécnico de Portalegre - Escola Superior de Tecnologia, Gestão e Design",5.4.415
9003,Agronomia,Licenciatura - 1º ciclo,3021,Instituto Politécnico de Beja - Escola Superior Agrária,5.4.236
9003,Agronomia,Licenciatura - 1º ciclo,3051,Instituto Politécnico de Castelo Branco - Escola Superior Agrária de Castelo Branco,5.4.281
9003,Agronomia,Licenciatura - 1º ciclo,3061,Instituto Politécnico de Coimbra - Escola Superior Agrária de Coimbra,5.4.298
9003,Agronomia,Licenciatura - 1º ciclo,3125,Instituto Politécnico de Portalegre - Escola Superior de Biociências de Elvas,5.4.408
9003,Agronomia,Licenciatura - 1º ciclo,3141,Instituto Politécnico de Santarém - Escola Superior Agrária de Santarém,5.4.453
9003,Agronomia,Licenciatura - 1º ciclo,3161,Instituto Politécnico de Viana do Castelo - Escola Superior Agrária,5.4.491
9003,Agronomia,Licenciatura - 1º ciclo,0602,Universidade de Évora - Escola de Ciências e Tecnologia,5.4.95
9003,Agronomia,Licenciatura - 1º ciclo,1201,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias,5.4.213
9003,Agronomia,Licenciatura - 1º ciclo,0203,Universidade do Algarve - Faculdade de Ciências e Tecnologia,5.4.32
8419,Agronomia (regime pós-laboral),Licenciatura - 1º ciclo,3141,Instituto Politécnico de Santarém - Escola Superior Agrária de Santarém,5.4.454
L347,Análise e Engenharia de Dados,Licenciatura - 1º ciclo,0903,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,5.4.184
9933,Animação e Produção Artística,Licenciatura - 1º ciclo,3042,Instituto Politécnico de Bragança - Escola Superior de Educação de Bragança,5.4.265
9005,Animação Sociocultural,Licenciatura - 1º ciclo,3091,"Instituto Politécnico da Guarda - Escola Superior de Educação, Comunicação e Desporto",5.4.342
9005,Animação Sociocultural,Licenciatura - 1º ciclo,3112,Instituto Politécnico de Lisboa - Escola Superior de Educação,5.4.395
9005,Animação Sociocultural,Licenciatura - 1º ciclo,3151,Instituto Politécnico de Setúbal - Escola Superior de Educação,5.4.481
9005,Animação Sociocultural,Licenciatura - 1º ciclo,1202,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais,5.4.215
9675,Animação Socioeducativa,Licenciatura - 1º ciclo,3062,Instituto Politécnico de Coimbra - Escola Superior de Educação de Coimbra,5.4.302
8093,Animação Socioeducativa (regime pós-laboral),Licenciatura - 1º ciclo,3062,Instituto Politécnico de Coimbra - Escola Superior de Educação de Coimbra,5.4.303
9848,Animação Turística,Licenciatura - 1º ciclo,3105,Instituto Politécnico de Leiria - Escola Superior de Turismo e Tecnologia do Mar,5.4.379
9448,Antropologia,Licenciatura - 1º ciclo,6800,ISCTE - Instituto Universitário de Lisboa,5.4.1
9448,Antropologia,Licenciatura - 1º ciclo,0501,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,5.4.68
9448,Antropologia,Licenciatura - 1º ciclo,1516,Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas,5.4.132
9448,Antropologia,Licenciatura - 1º ciclo,0902,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,5.4.179
9006,Arqueologia,Licenciatura - 1º ciclo,0505,Universidade de Coimbra - Faculdade de Letras,5.4.79
9006,Arqueologia,Licenciatura - 1º ciclo,1506,Universidade de Lisboa - Faculdade de Letras,5.4.115
9006,Arqueologia,Licenciatura - 1º ciclo,1000,Universidade do Minho,5.4.156
9006,Arqueologia,Licenciatura - 1º ciclo,1107,Universidade do Porto - Faculdade de Letras,5.4.206
9006,Arqueologia,Licenciatura - 1º ciclo,0902,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,5.4.179
9257,Arquitetura,Mestrado Integrado,6800,ISCTE - Instituto Universitário de Lisboa,5.4.1
9257,Arquitetura,Mestrado Integrado,0400,Universidade da Beira Interior,5.4.51
9257,Arquitetura,Mestrado Integrado,0501,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,5.4.68
9257,Arquitetura,Mestrado Integrado,0603,Universidade de Évora - Escola de Artes,5.4.87
9257,Arquitetura,Mestrado Integrado,1501,Universidade de Lisboa - Faculdade de Arquitetura,5.4.105
9257,Arquitetura,Mestrado Integrado,1518,Universidade de Lisboa - Instituto Superior Técnico,5.4.141
9257,Arquitetura,Mestrado Integrado,1000,Universidade do Minho,5.4.156
9257,Arquitetura,Mestrado Integrado,1102,Universidade do Porto - Faculdade de Arquitetura,5.4.194
8258,Arquitetura Paisagista,Licenciatura - 1º ciclo,1515,Universidade de Lisboa - Instituto Superior de Agronomia,5.4.129
8258,Arquitetura Paisagista,Licenciatura - 1º ciclo,0203,Universidade do Algarve - Faculdade de Ciências e Tecnologia,5.4.32
8258,Arquitetura Paisagista,Licenciatura - 1º ciclo,1103,Universidade do Porto - Faculdade de Ciências,5.4.195
9898,Arte e Design,Licenciatura - 1º ciclo,3042,Instituto Politécnico de Bragança - Escola Superior de Educação de Bragança,5.4.266
9898,Arte e Design,Licenciatura - 1º ciclo,3062,Instituto Politécnico de Coimbra - Escola Superior de Educação de Coimbra,5.4.303
9904,Arte Multimédia,Licenciatura - 1º ciclo,1502,Universidade de Lisboa - Faculdade de Belas-Artes,5.4.106
L284,Artes e Cinema Digital,Licenciatura - 1º ciclo,3162,Instituto Politécnico de Viana do Castelo - Escola Superior de Educação,5.4.495
8413,Artes e Humanidades,Licenciatura - 1º ciclo,1506,Universidade de Lisboa - Faculdade de Letras,5.4.115
9681,Artes Performativas,Licenciatura - 1º ciclo,3181,Instituto Politécnico de Viseu - Escola Superior de Educação de Viseu,5.4.511
9007,Artes Plásticas,Licenciatura - 1º ciclo,3103,Instituto Politécnico de Leiria - Escola Superior de Artes e Design,5.4.357
9007,Artes Plásticas,Licenciatura - 1º ciclo,5402,Universidade do Porto - Faculdade de Belas-Artes,5.4.194
9347,Artes Plásticas e Multimédia,Licenciatura - 1º ciclo,3181,Instituto Politécnico de Viseu - Escola Superior de Educação de Viseu,5.4.511
9347,Artes Plásticas e Multimédia,Licenciatura - 1º ciclo,0603,Universidade de Évora - Escola de Artes,5.4.88
L122,Artes Plásticas e Tecnologias Artísticas,Licenciatura - 1º ciclo,3162,Instituto Politécnico de Viana do Castelo - Escola Superior de Educação,5.4.496
