row 21 ok ['', '', '', '', '', '']
row 22 ok ['121.0', '118.4', '120.4', '127.8', '124.0', '113.8']
row 23 ok ['110.4', '113.2', '111.0', '113.2', '', '123.5']
row 24 ok ['139.0', '146.0', '139.0', '146.0', '120.0', '133.3']
row 25 ok ['130.8', '147.6', '131.4', '144.4', '111.5', '110.3']
row 26 ok ['127.7', '133.7', '96.0', '128.0', '118.8', '106.5']
row 27 ok ['137.3', '141.2', '132.8', '142.9', '113.8', '130.8']
row 28 ok ['121.6', '133.5', '109.6', '130.7', '', '114.0']
row 29 ok ['115.0', '109.7', '115.4', '123.4', '141.3', '140.5']
row 30 ok ['141.0', '145.5', '132.0', '138.0', '137.5', '134.3']
row 31 ok ['', '', '', '', '', '']
row 32 ok ['137.0', '141.0', '131.0', '134.0', '127.0', '127.5']
row 33 ok ['', '', '', '', '', '']
row 34 ok ['', '', '', '', '', '']
row 35 ok ['141.0', '145.0', '140.0', '144.0', '120.5', '135.3']
row 36 ok ['140.2', '145.0', '145.0', '162.0', '141.8', '145.5']
row 37 ok ['143.8', '147.4', '150.6', '154.4', '141.5', '140.3']
row 38 ok ['', '', '', '', '', '']
row 39 ok ['154.0', '177.0', '166.5', '184.0', '161.0', '176.5']
row 40 ok ['', '', '', '', '', '']
updated rows 21-40
row 41 ok ['', '', '', '', '', '']
row 42 ok ['', '', '', '', '', '']
row 43 ok ['160.0', '177.5', '171.5', '184.0', '161.3', '172.5']
row 44 ok ['153.5', '159.5', '156.8', '179.0', '156.8', '167.3']
row 45 ok ['167.5', '185.0', '179.0', '189.0', '172.8', '185.0']
row 46 ok ['184.5', '192.0', '186.0', '193.5', '178.8', '191.8']
row 47 ok ['145.5', '', '154.5', '158.0', '140.8', '136.3']
row 48 ok ['', '', '', '', '', '']
row 49 ok ['152.5', '181.5', '154.5', '156.5', '149.3', '155.0']
row 50 ok ['132.8', '131.6', '135.6', '149.4', '120.0', '109.5']
row 51 ok ['157.9', '169.7', '164.2', '171.2', '157.3', '163.8']
row 52 ok ['164.5', '173.5', '147.3', '157.8', '154.5', '169.0']
row 53 ok ['126.4', '144.3', '146.8', '146.5', '138.3', '137.0']
row 54 ok ['141.0', '141.5', '136.0', '148.5', '114.8', '124.5']
row 55 ok ['', '', '126.0', '124.5', '120.8', '120.8']
row 56 ok ['154.2', '159.3', '165.6', '165.8', '131.0', '135.8']
row 57 ok ['166.5', '186.5', '174.5', '190.0', '170.5', '181.0']
row 58 ok ['119.1', '112.0', '135.4', '154.7', '131.8', '143.0']
row 59 ok ['', '', '', '', '', '']
row 60 ok ['139.0', '147.0', '152.8', '159.5', '138.0', '137.0']
updated rows 41-60
row 61 ok ['122.3', '112.6', '131.9', '133.2', '115.0', '118.3']
row 62 ok ['', '', '', '', '', '']
row 63 ok ['150.5', '156.0', '169.0', '181.5', '156.5', '169.0']
row 64 ok ['148.0', '160.5', '151.0', '160.5', '141.3', '153.0']
row 65 ok ['164.0', '165.5', '167.4', '179.8', '163.3', '172.0']
row 66 ok ['', '', '', '', '116.8', '129.5']
row 67 ok ['157.4', '159.8', '156.6', '166.1', '125.0', '133.8']
row 68 ok ['149.5', '154.7', '147.4', '154.2', '124.8', '122.8']
row 69 ok ['126.0', '130.0', '114.6', '129.0', '123.3', '121.8']
row 70 ok ['130.2', '137.9', '125.6', '132.6', '141.5', '']
row 71 ok ['138.3', '137.0', '133.5', '132.5', '143.5', '143.0']
row 72 ok ['122.8', '129.1', '122.6', '133.5', '122.0', '119.0']
row 73 ok ['154.0', '162.5', '154.0', '163.5', '144.0', '149.8']
row 74 ok ['131.5', '131.5', '132.7', '135.8', '140.0', '122.5']
row 75 ok ['132.2', '121.3', '119.2', '129.9', '129.5', '124.3']
row 76 ok ['131.2', '133.6', '129.7', '160.2', '132.0', '']
row 77 ok ['', '', '', '', '', '']
row 78 ok ['184.5', '', '181.8', '194.5', '180.0', '186.5']
row 79 ok ['118.7', '108.7', '112.9', '116.6', '127.3', '105.5']
row 80 ok ['165.3', '', '165.0', '165.3', '128.3', '145.5']
updated rows 61-80
row 81 ok ['140.3', '145.3', '115.2', '130.2', '126.0', '139.8']
row 82 ok ['', '', '', '', '', '']
row 83 ok ['', '', '', '', '', '']
row 84 ok ['', '', '', '', '', '']
row 85 ok ['160.5', '171.0', '157.5', '159.0', '136.3', '137.3']
row 86 ok ['144.5', '146.0', '142.8', '143.8', '132.8', '137.0']
row 87 ok ['123.3', '129.5', '132.0', '137.5', '142.3', '134.3']
row 88 ok ['', '', '', '', '', '']
row 89 ok ['158.0', '165.0', '150.5', '145.5', '155.3', '152.3']
row 90 ok ['', '', '', '', '', '']
row 91 ok ['154.2', '150.6', '149.6', '150.0', '127.8', '139.3']
row 92 ok ['118.0', '124.0', '112.3', '117.3', '144.5', '132.3']
row 93 ok ['112.0', '110.0', '105.0', '113.3', '119.0', '120.3']
row 94 ok ['', '', '', '', '', '']
row 95 ok ['', '', '', '', '', '']
row 96 ok ['', '', '', '', '', '']
row 97 ok ['121.6', '121.4', '120.8', '118.5', '124.8', '126.8']
row 98 ok ['144.2', '139.8', '129.2', '136.8', '122.3', '119.5']
row 99 ok ['', '', '', '', '', '']
row 100 ok ['136.5', '132.2', '128.0', '122.2', '120.8', '124.5']
updated rows 81-100
row 101 ok ['', '', '', '', '', '']
row 102 ok ['', '', '', '', '', '']
row 103 ok ['128.5', '125.1', '120.4', '119.7', '115.0', '111.0']
row 104 ok ['', '', '', '', '', '']
row 105 ok ['97.0', '119.0', '117.3', '116.2', '', '121.8']
row 106 ok ['', '', '', '', '', '']
row 107 ok ['', '', '', '', '', '']
row 108 ok ['', '', '', '', '', '']
row 109 ok ['152.5', '161.3', '154.5', '172.3', '141.8', '126.0']
row 110 ok ['129.8', '114.3', '132.7', '124.5', '115.8', '118.8']
row 111 ok ['', '', '', '', '', '']
row 112 ok ['153.8', '154.0', '160.0', '158.4', '137.0', '129.3']
row 113 ok ['166.5', '178.5', '163.0', '153.5', '151.3', '150.0']
row 114 ok ['', '', '', '', '', '']
row 115 ok ['147.1', '145.6', '149.5', '147.2', '130.5', '128.5']
row 116 ok ['138.9', '136.3', '131.5', '128.9', '130.5', '144.3']
row 117 ok ['115.6', '119.0', '123.3', '116.5', '112.5', '127.8']
row 118 ok ['135.7', '134.4', '132.2', '132.6', '116.3', '132.5']
row 119 ok ['129.3', '124.3', '121.4', '113.9', '134.5', '135.3']
row 120 ok ['119.7', '119.3', '116.3', '119.1', '123.0', '110.0']
updated rows 101-120
row 121 ok ['', '', '', '', '', '']
row 122 ok ['', '', '', '', '', '']
row 123 ok ['', '', '', '', '', '']
row 124 ok ['', '', '', '', '', '']
row 125 ok ['', '', '', '', '', '']
row 126 ok ['118.0', '115.6', '125.8', '116.1', '108.8', '']
row 127 ok ['101.0', '112.4', '112.0', '117.2', '120.3', '']
row 128 ok ['174.5', '169.0', '170.0', '162.5', '131.8', '137.8']
row 129 ok ['177.5', '', '177.3', '', '176.8', '']
row 130 ok ['', '', '', '', '', '']
row 131 ok ['', '', '', '', '', '']
row 132 ok ['', '', '', '', '', '']
row 133 ok ['', '', '', '', '125.8', '140.8']
row 134 ok ['159.0', '164.5', '163.5', '171.0', '136.3', '157.3']
row 135 ok ['159.8', '162.8', '161.2', '166.8', '157.8', '157.0']
row 136 ok ['146.0', '', '150.4', '158.6', '144.5', '151.3']
row 137 ok ['', '', '', '', '', '']
row 138 ok ['', '', '', '', '', '']
row 139 ok ['114.6', '125.4', '120.4', '114.5', '112.3', '120.3']
row 140 ok ['117.6', '141.0', '136.2', '141.5', '126.3', '123.0']
updated rows 121-140
row 141 ok ['146.6', '151.4', '148.6', '155.0', '143.8', '137.3']
row 142 ok ['', '', '', '', '', '']
row 143 ok ['152.0', '150.8', '144.0', '147.0', '138.3', '136.8']
row 144 ok ['161.5', '166.0', '165.5', '169.0', '160.5', '163.0']
row 145 ok ['159.0', '158.0', '162.0', '161.5', '158.3', '155.3']
row 146 ok ['158.8', '158.0', '163.0', '162.2', '125.0', '122.8']
row 147 ok ['', '', '', '', '', '']
row 148 ok ['', '', '', '', '', '']
row 149 ok ['95.0', '', '', '', '', '']
row 150 ok ['', '', '', '', '', '']
row 151 ok ['', '', '', '', '', '']
row 152 ok ['116.8', '112.0', '114.5', '120.4', '117.8', '109.3']
row 153 ok ['137.0', '135.4', '129.8', '127.6', '123.0', '122.3']
row 154 ok ['151.0', '165.0', '146.5', '157.3', '153.8', '160.5']
row 155 ok ['', '', '', '', '', '']
row 156 ok ['', '', '', '', '', '']
row 157 ok ['', '', '', '', '', '']
row 158 ok ['142.1', '146.2', '148.0', '146.9', '153.5', '152.0']
row 159 ok ['', '', '', '', '', '']
row 160 ok ['', '', '', '', '118.3', '115.0']
updated rows 141-160
row 161 ok ['119.8', '110.3', '111.0', '118.6', '114.5', '119.5']
row 162 ok ['144.8', '148.8', '120.1', '127.1', '124.5', '118.5']
row 163 ok ['162.2', '160.4', '150.3', '145.8', '140.8', '127.0']
row 164 ok ['161.8', '166.2', '158.7', '156.9', '145.0', '140.3']
row 165 ok ['164.5', '162.3', '166.0', '163.0', '149.0', '144.5']
row 166 ok ['153.4', '153.2', '147.6', '154.1', '138.5', '134.3']
row 167 ok ['', '', '', '', '', '']
row 168 ok ['148.6', '156.6', '147.0', '150.8', '118.0', '117.5']
row 169 ok ['', '', '', '', '', '']
row 170 ok ['167.5', '171.5', '163.5', '170.5', '160.0', '163.3']
row 171 ok ['152.7', '152.6', '149.8', '151.3', '148.3', '146.0']
