course_code,course_name,cycle,institution_code,institution_name,institution_sigla,reference,estatisticas_do_curso,detalhes_do_curso,nota_ult_col_2023_1a,nota_ult_col_2023_2a,nota_ult_col_2024_1a,nota_ult_col_2024_2a,nota_ult_col_2025_1a,nota_ult_col_2025_2a
9002,Administração Pública,Licenciatura - 1º ciclo,3054,Instituto Politécnico de Castelo Branco - Escola Superior de Gestão de Idanha-a-Nova,ESGIN,5.4.290,https://infocursos.medu.pt/dges.asp?code=3054&codc=9002,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9002&code=3054,122.1,117.6,95.0,128.1,,121.8
9002,Administração Pública,Licenciatura - 1º ciclo,3102,Instituto Politécnico de Leiria - Escola Superior de Tecnologia e Gestão,ESTG,5.4.369,https://infocursos.medu.pt/dges.asp?code=3102&codc=9002,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9002&code=3102,138.7,139.5,139.0,141.8,111.8,128.8
9002,Administração Pública,Licenciatura - 1º ciclo,300,Universidade de Aveiro,UA,5.4.39,https://infocursos.medu.pt/dges.asp?code=300&codc=9002,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9002&code=300,,,,,,
9002,Administração Pública,Licenciatura - 1º ciclo,502,Universidade de Coimbra - Faculdade de Direito,FDUC,5.4.76,https://infocursos.medu.pt/dges.asp?code=502&codc=9002,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9002&code=502,,,,,,
9002,Administração Pública,Licenciatura - 1º ciclo,1516,Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas,ISCSP,5.4.131,https://infocursos.medu.pt/dges.asp?code=1516&codc=9002,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9002&code=1516,149,149,150,153.5,147.5,143.8
9002,Administração Pública,Licenciatura - 1º ciclo,1000,Universidade do Minho,UMinho,5.4.155,https://infocursos.medu.pt/dges.asp?code=1000&codc=9002,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9002&code=1000,154.6,159.4,160.4,159.4,150.5,153.8
8102,Administração Pública (regime pós-laboral),Licenciatura - 1º ciclo,1516,Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas,ISCSP,5.4.131,https://infocursos.medu.pt/dges.asp?code=1516&codc=8102,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=8102&code=1516,138.5,144.0,135.5,142.5,131.8,131.5
8363,Administração Pública e Políticas do Território (regime pós-laboral),Licenciatura - 1º ciclo,1516,Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas,ISCSP,5.4.132,https://infocursos.medu.pt/dges.asp?code=1516&codc=8363,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=8363&code=1516,131,138,128.5,137,120.3,126.8
9670,Administração de Publicidade e Marketing,Licenciatura - 1º ciclo,3124,"Instituto Politécnico de Portalegre - Escola Superior de Tecnologia, Gestão e Design",ESTGD,5.4.415,https://infocursos.medu.pt/dges.asp?code=3124&codc=9670,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9670&code=3124,,,116.2,134,114.5,111
9003,Agronomia,Licenciatura - 1º ciclo,3021,Instituto Politécnico de Beja - Escola Superior Agrária,ESA,5.4.236,https://infocursos.medu.pt/dges.asp?code=3021&codc=9003,https://www.dges.gov.pt/guias/detcursopi.asp?frame=1&codc=9003&code=3021,123.3,122,140.4,122,,
